,Actor_name,Actor_id
0,Pete Docter,nm0230032
1,Kemp Powers,nm5358492
2,Anthony Russo,nm0751577
3,Joe Russo,nm0751648
4,Jonathan Demme,nm0001129
5,Aaron Sorkin,nm0815070
6,Quentin Tarantino,nm0000233
7,Taika Waititi,nm0169806
8,Bong Joon Ho,nm0094435
9,Guy Ritchie,nm0005363
10,Rian Johnson,nm0426059
11,Anthony Russo,nm0751577
12,Joe Russo,nm0751648
13,Matthew Vaughn,nm0891216
14,Frank Darabont,nm0001104
15,Francis Ford Coppola,nm0000338
16,James Cameron,nm0000116
17,Chris Columbus,nm0001060
18,Martin Scorsese,nm0000217
19,Christopher Nolan,nm0634240
20,Todd Phillips,nm0680846
21,Darius Marder,nm2942187
22,Peter Jackson,nm0001392
23,Christopher Nolan,nm0634240
24,Martin Scorsese,nm0000217
25,Christopher Nolan,nm0634240
26,Thomas Vinterberg,nm0899121
27,Christopher Nolan,nm0634240
28,Sam Mendes,nm0005222
29,Tim Miller,nm1783265
30,Quentin Tarantino,nm0000233
31,Richard Linklater,nm0000500
32,James Gunn,nm0348181
33,Bryan Singer,nm0001741
34,David Fincher,nm0000399
35,Rob Reiner,nm0001661
36,Predrag Antonijevic,nm0031342
37,Nick Cassavetes,nm0001024
38,Quentin Tarantino,nm0000233
39,Michael Cimino,nm0001047
40,Mary Harron,nm0366004
41,Robert Zemeckis,nm0000709
42,Martin Scorsese,nm0000217
43,Martin Scorsese,nm0000217
44,Joss Whedon,nm0923736
45,Richard Curtis,nm0193485
46,Joe Wright,nm0942504
47,Lana Wachowski,nm0905154
48,Lilly Wachowski,nm0905152
49,Steven Spielberg,nm0000229
50,Thomas Kail,nm2371802
51,Bob Persichetti,nm2130108
52,Peter Ramsey,nm0709056
53,Rodney Rothman,nm0745247
54,Richard Donner,nm0001149
55,Taika Waititi,nm0169806
