,Movie_id,Actor_id
0,tt2948372,nm0004937
1,tt2948372,nm0275486
2,tt2948372,nm0636218
3,tt2948372,nm1344302
4,tt4154796,nm0000375
5,tt4154796,nm0262635
6,tt4154796,nm0749263
7,tt4154796,nm1165110
8,tt0102926,nm0000149
9,tt0102926,nm0000164
10,tt0102926,nm0095029
11,tt0102926,nm0501435
12,tt1070874,nm1519666
13,tt1070874,nm5189784
14,tt1070874,nm0056187
15,tt1070874,nm0834989
16,tt7131622,nm0000138
17,tt7131622,nm0000093
18,tt7131622,nm3053338
19,tt7131622,nm0386472
20,tt3501632,nm1165110
21,tt3501632,nm1089991
22,tt3501632,nm0000949
23,tt3501632,nm0749263
24,tt6751668,nm0814280
25,tt6751668,nm1310525
26,tt6751668,nm1856097
27,tt6751668,nm6079248
28,tt8367814,nm0000190
29,tt8367814,nm0402271
30,tt8367814,nm1890784
31,tt8367814,nm0834989
32,tt8946378,nm0185819
33,tt8946378,nm0262635
34,tt8946378,nm1869101
35,tt8946378,nm0000130
36,tt4154756,nm0000375
37,tt4154756,nm1165110
38,tt4154756,nm0749263
39,tt4154756,nm0262635
40,tt1250777,nm1093951
41,tt1250777,nm0000115
42,tt1250777,nm1631269
43,tt1250777,nm0113595
44,tt0111161,nm0000209
45,tt0111161,nm0000151
46,tt0111161,nm0348409
47,tt0111161,nm0006669
48,tt0068646,nm0000008
49,tt0068646,nm0000199
50,tt0068646,nm0001001
51,tt0068646,nm0000473
52,tt0120338,nm0000138
53,tt0120338,nm0000701
54,tt0120338,nm0000708
55,tt0120338,nm0000870
56,tt0241527,nm0705356
57,tt0241527,nm0342488
58,tt0241527,nm0001321
59,tt0241527,nm0001749
60,tt0993846,nm0000138
61,tt0993846,nm1706767
62,tt0993846,nm3053338
63,tt0993846,nm0000190
64,tt0816692,nm0000190
65,tt0816692,nm0004266
66,tt0816692,nm1567113
67,tt0816692,nm3237775
68,tt7286456,nm0001618
69,tt7286456,nm0000134
70,tt7286456,nm5939164
71,tt7286456,nm0175814
72,tt5363618,nm1981893
73,tt5363618,nm4972453
74,tt5363618,nm0705152
75,tt5363618,nm4248765
76,tt0120737,nm0000704
77,tt0120737,nm0005212
78,tt0120737,nm0089217
79,tt0120737,nm0000293
80,tt1375666,nm0000138
81,tt1375666,nm0330687
82,tt1375666,nm0680983
83,tt1375666,nm0913822
84,tt1130884,nm0000138
85,tt1130884,nm0607865
86,tt1130884,nm0749263
87,tt1130884,nm0001426
88,tt5013056,nm7887725
89,tt5013056,nm4422686
90,tt5013056,nm0753314
91,tt5013056,nm0362766
92,tt10288566,nm0586568
93,tt10288566,nm0488917
94,tt10288566,nm2099237
95,tt10288566,nm1046521
96,tt0468569,nm0000288
97,tt0468569,nm0005132
98,tt0468569,nm0001173
99,tt0468569,nm0000323
100,tt8579674,nm2835616
101,tt8579674,nm1126657
102,tt8579674,nm0990547
103,tt8579674,nm0000147
104,tt1431045,nm0005351
105,tt1431045,nm1072555
106,tt1431045,nm2554352
107,tt1431045,nm4534098
108,tt0110912,nm0000237
109,tt0110912,nm0000235
110,tt0110912,nm0000168
111,tt0110912,nm0000246
112,tt0106677,nm0518715
113,tt0106677,nm0927812
114,tt0106677,nm0000190
115,tt0106677,nm0168262
116,tt2015381,nm0695435
117,tt2015381,nm0004874
118,tt2015381,nm0177896
119,tt2015381,nm0757855
120,tt1877832,nm0001772
121,tt1877832,nm0005212
122,tt1877832,nm0413168
123,tt1877832,nm0564215
124,tt2267998,nm0000255
125,tt2267998,nm0683253
126,tt2267998,nm0000439
127,tt2267998,nm1347153
128,tt0093779,nm0000144
129,tt0093779,nm0001597
130,tt0093779,nm0000705
131,tt0093779,nm0001697
132,tt10554232,nm10784809
133,tt10554232,nm3168810
134,tt10554232,nm3042406
135,tt10554232,nm12338666
136,tt0332280,nm0001687
137,tt0332280,nm0001258
138,tt0332280,nm1046097
139,tt0332280,nm0331516
140,tt0361748,nm0000093
141,tt0361748,nm1208167
142,tt0361748,nm0744834
143,tt0361748,nm0491259
