,Movie_id,Director_id
0,tt2948372,nm0230032
1,tt2948372,nm5358492
2,tt4154796,nm0751577
3,tt4154796,nm0751648
4,tt0102926,nm0001129
5,tt1070874,nm0815070
6,tt7131622,nm0000233
7,tt3501632,nm0169806
8,tt6751668,nm0094435
9,tt8367814,nm0005363
10,tt8946378,nm0426059
11,tt4154756,nm0751577
12,tt4154756,nm0751648
13,tt1250777,nm0891216
14,tt0111161,nm0001104
15,tt0068646,nm0000338
16,tt0120338,nm0000116
17,tt0241527,nm0001060
18,tt0993846,nm0000217
19,tt0816692,nm0634240
20,tt7286456,nm0680846
21,tt5363618,nm2942187
22,tt0120737,nm0001392
23,tt1375666,nm0634240
24,tt1130884,nm0000217
25,tt5013056,nm0634240
26,tt10288566,nm0899121
27,tt0468569,nm0634240
28,tt8579674,nm0005222
29,tt1431045,nm1783265
30,tt0110912,nm0000233
31,tt0106677,nm0000500
32,tt2015381,nm0348181
33,tt1877832,nm0001741
34,tt2267998,nm0000399
35,tt0093779,nm0001661
36,tt10554232,nm0031342
37,tt0332280,nm0001024
38,tt0361748,nm0000233
39,tt0077416,nm0001047
40,tt0144084,nm0366004
41,tt0109830,nm0000709
42,tt0099685,nm0000217
43,tt0407887,nm0000217
44,tt0848228,nm0923736
45,tt2194499,nm0193485
46,tt0414387,nm0942504
47,tt0133093,nm0905154
48,tt0133093,nm0905152
49,tt0107290,nm0000229
50,tt8503618,nm2371802
51,tt4633694,nm2130108
52,tt4633694,nm0709056
53,tt4633694,nm0745247
54,tt0089218,nm0001149
55,tt2584384,nm0169806
